date;Type_Jour;Total
2019-03-21;JOHV;379612
2019-03-30;SA;173863
2019-04-04;JOHV;395074
2019-05-27;JOHV;368946
2019-06-29;SA;256765
2019-07-09;JOVS;403119
2019-07-15;JOVS;357370
2019-09-27;JOHV;380853
2019-09-28;SA;192015
2019-10-01;JOHV;384948
2019-10-18;JOHV;355093
2020-01-20;JOHV;368728
2020-03-14;SA;108153
2020-04-21;JOHV;13987
2020-05-28;JOHV;57370
2020-06-13;SA;95292
2020-07-29;JOVS;180031
2020-08-01;SA;99249
2020-08-24;JOVS;158372
2020-09-06;DIJFP;76613
2020-09-07;JOHV;218583
2020-09-09;JOHV;225097
2020-10-23;JOVS;178143
2020-10-26;JOVS;184625
2020-11-17;JOHV;65666
2020-11-22;DIJFP;15657
2020-11-28;SA;100178
2020-12-04;JOHV;129370
2020-12-27;DIJFP;50839
2021-01-06;JOHV;118950
2021-01-12;JOHV;129228
2021-01-31;DIJFP;39647
2021-02-01;JOHV;91695
2021-03-07;DIJFP;27259
2021-04-08;JOHV;64018
2021-06-06;DIJFP;63922
2021-06-13;DIJFP;78229
2021-07-19;JOVS;183419
2021-07-20;JOVS;198985
2021-07-22;JOVS;193901
2021-08-19;JOVS;131834
2021-09-02;JOVS;205795
2021-09-07;JOHV;239176
2021-09-21;JOHV;251054
2021-10-08;JOHV;227654
2021-12-14;JOHV;256844
2022-01-25;JOHV;176576
2022-02-12;SA;157927
2022-03-04;JOVS;191963
2022-03-14;JOHV;235299
2022-03-18;JOHV;219648
2022-03-30;JOHV;252499
2022-03-31;JOHV;256591
2022-05-02;JOVS;211835
2022-06-07;JOHV;283266
2022-07-13;JOVS;254628
2022-07-24;DIJFP;114507
2022-08-01;JOVS;197124
2022-08-11;JOVS;188280
2022-09-28;JOHV;297358
2022-09-29;JOHV;281489
2022-10-13;JOHV;317141
2022-10-23;DIJFP;112963
2022-10-31;JOVS;208831
2022-11-29;JOHV;290341
2022-12-04;DIJFP;120783
2022-12-09;JOHV;274535
2022-12-23;JOVS;224310
2022-12-28;JOVS;213765
2023-01-30;JOHV;295165
2023-02-02;JOHV;319996
2023-02-09;JOHV;310865
2023-02-25;SA;149788
2023-02-26;DIJFP;97824
2023-04-30;DIJFP;120693
2023-08-17;JOVS;189498
2023-08-23;JOVS;254513
2023-09-09;SA;172037
2023-09-20;JOHV;341198
2023-09-21;JOHV;326217
2023-11-19;DIJFP;138906
2024-03-31;DIJFP;106136
2024-04-08;JOVS;289585
2024-04-24;JOHV;317934
2024-05-08;DIJFP;146734
2024-05-12;DIJFP;149266
2019-05-31;DIJFP;254861
2019-08-13;JOVS;232545
2019-09-15;DIJFP;111521
2019-10-03;JOHV;357598
2019-12-01;DIJFP;162376
2019-12-30;JOVS;266440
2020-01-06;JOHV;327496
2020-01-14;JOHV;373711
2020-02-18;JOVS;348214
2020-04-26;DIJFP;4723
2020-06-09;JOHV;113105
2020-06-25;JOHV;166219
2020-08-06;JOVS;168334
2020-08-22;SA;88923
2020-10-01;JOHV;230910
2020-12-06;DIJFP;74253
2021-01-07;JOHV;119577
2021-01-13;JOHV;130363
2021-02-19;JOVS;71521
2021-04-06;JOHV;52584
2021-04-30;JOHV;76307
2021-06-05;SA;105324
2021-07-25;DIJFP;66778
2021-09-22;JOHV;237121
2021-09-27;JOHV;234969
2021-10-16;SA;151964
2021-10-27;JOVS;250712
2021-11-07;DIJFP;87570
2022-02-05;SA;157812
2022-03-01;JOVS;235307
2022-06-24;JOHV;246331
2022-07-11;JOVS;266973
2022-08-08;JOVS;185424
2022-09-15;JOHV;301274
2022-11-15;JOHV;318024
2023-01-11;JOHV;327326
2023-04-09;DIJFP;110657
2023-05-09;JOHV;311149
2023-05-11;JOHV;319768
2023-05-14;DIJFP;105882
2023-09-04;JOHV;278937
2023-12-02;SA;241292
2024-03-12;JOHV;264086
2024-04-11;JOVS;301083
2019-06-25;JOHV;415689
